Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
PSOTEst,Firefox 43.0,,2017-09-25 11:09:34,2017-09-25 11:12:48,3m - 13.497s,PASSED
,,,,,,
Test Cases/Test,Firefox 43.0,,2017-09-25 11:09:35,2017-09-25 11:12:47,3m - 12.367s,PASSED
callTestCase,Firefox 43.0,,2017-09-25 11:09:36,2017-09-25 11:10:25,49.062s,PASSED
callTestCase,Firefox 43.0,,2017-09-25 11:10:25,2017-09-25 11:10:55,30.161s,PASSED
callTestCase,Firefox 43.0,,2017-09-25 11:10:55,2017-09-25 11:10:55,0.002s,NOT_RUN
callTestCase,Firefox 43.0,,2017-09-25 11:10:55,2017-09-25 11:10:55,0.001s,NOT_RUN
callTestCase,Firefox 43.0,,2017-09-25 11:10:55,2017-09-25 11:11:39,44.411s,PASSED
callTestCase,Firefox 43.0,,2017-09-25 11:11:39,2017-09-25 11:12:14,34.982s,PASSED
callTestCase,Firefox 43.0,,2017-09-25 11:12:14,2017-09-25 11:12:15,0.423s,PASSED
callTestCase,Firefox 43.0,,2017-09-25 11:12:15,2017-09-25 11:12:47,32.415s,PASSED
verifyEqual,Firefox 43.0,,2017-09-25 11:12:47,2017-09-25 11:12:47,0.001s,PASSED
verifyEqual,Firefox 43.0,,2017-09-25 11:12:47,2017-09-25 11:12:47,0.000s,PASSED
verifyEqual,Firefox 43.0,,2017-09-25 11:12:47,2017-09-25 11:12:47,0.000s,PASSED
